source_file,kind,name,section,start_line,end_line,span,proof_start,proof_end,proof_span,proof_body_nonblank,terminal,internal_callees,internal_callers,qualified_external_use_count,qualified_external_locations,unique_unqualified_external_use_count,unique_unqualified_external_locations,reachable_from_external_entry,"responsibility","external_status","assessment","priority","rewrite_risk","recommendation"
"src/TilingCanonicalScheduleValidator.v","Definition","checked_tiling_schedule_canonical_validate_poly","checked canonical API","193","194","2","","","0","0","definition","checked_tiling_schedule_canonical_validate_outer","checked_tiling_schedule_canonical_validate_poly_correct","3","./syntax/STilingCanonicalOpt.v:10;./driver/PolOptCanonicalTiling.v:33;./driver/TTilingCanonicalOpt.v:10","0","","yes","checked canonical API","direct repository consumer","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingCanonicalScheduleValidator.v","Lemma","checked_tiling_schedule_canonical_validate_correct","checked canonical API","196","242","47","205","242","38","36","Qed","check_pprog_tiling_schedule_canonicalb_sound;checked_tiling_schedule_canonical_validate","checked_tiling_schedule_canonical_validate_outer_correct","0","","0","","yes","checked canonical API","internal on a repository-consumed path","semantic endpoint unpacks and rebuilds the same relation, then invokes a helper that re-runs checker soundness","P0","low","reuse one named certificate bundle and the new declarative equality helper; preserve theorem name and statement"
"src/TilingCanonicalScheduleValidator.v","Lemma","checked_tiling_schedule_canonical_validate_outer_correct","checked canonical API","244","270","27","253","270","18","16","Qed","checked_tiling_schedule_canonical_validate_correct;checked_tiling_schedule_canonical_validate_outer","checked_tiling_schedule_canonical_validate_poly_correct","0","","0","","yes","checked canonical API","internal on a repository-consumed path","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingCanonicalScheduleValidator.v","Lemma","checked_tiling_schedule_canonical_validate_poly_correct","checked canonical API","272","283","12","281","283","3","1","Qed","checked_tiling_schedule_canonical_validate_outer_correct;checked_tiling_schedule_canonical_validate_poly","","1","./driver/PolOptCanonicalTiling.v:113","0","","yes","checked canonical API","direct repository consumer","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingWitness.v","Record","affine_expr","witness types and primitives","8","12","5","","","0","0","definition","","affine_row_holds;eval_affine;lift_base_row;lift_base_row_after_env;tile_link","0","","0","","yes","witness types and primitives","internal on a repository-consumed path","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingWitness.v","Fixpoint","dot_product","witness types and primitives","14","18","5","","","0","0","definition","","dot_product_app_exact;dot_product_cons_singleton;dot_product_insert_zeros_at;dot_product_repeat_zero_app;dot_product_repeat_zero_exact;dot_product_split_firstn_skipn;eval_access_row;eval_affine","16","./src/TilingRelation.v:773;./src/TilingRelation.v:842;./src/TilingRelation.v:843;./src/TilingRelation.v:884;./src/TilingRelation.v:886;./src/TilingRelation.v:888;./src/TilingRelation.v:899;./src/TilingRelation.v:901;./src/TilingRelation.v:903;./src/TilingRelation.v:985;./src/TilingRelation.v:989;./src/TilingRelation.v:991;./src/TilingRelation.v:993;./src/TilingRelation.v:1003;./src/TilingRelation.v:1005;./src/TilingRelation.v:1007","0","","yes","witness types and primitives","direct repository consumer","duplicates the same truncating dot product in lib/Linalg.v","P1","medium","prove compatibility or make this public name a wrapper around Linalg.dot_product before consolidating lemmas"
"src/TilingWitness.v","Definition","eval_affine","witness types and primitives","20","23","4","","","0","0","definition","affine_expr;dot_product","affine_row_holds;eval_lift_base_row;eval_lift_base_row_after_env;eval_tile_parent;eval_tile_parent_interval;lower_link_row_value;tile_link_interval_holds;upper_link_row_value","0","","16","./src/TilingRelation.v:810;./src/TilingRelation.v:838;./src/TilingRelation.v:861;./src/TilingRelation.v:868;./src/TilingRelation.v:903;./src/TilingRelation.v:957;./src/TilingRelation.v:964;./src/TilingRelation.v:1007;./src/TilingBandScheduleValidator.v:3072;./src/TilingBandScheduleValidator.v:3075;./src/TilingBandScheduleValidator.v:3117;./src/TilingBandScheduleValidator.v:3121;./src/TilingBandScheduleValidator.v:3167;./src/TilingBandScheduleValidator.v:3876;./src/TilingBandScheduleValidator.v:3879;./src/TilingBandScheduleValidator.v:3955","yes","witness types and primitives","direct repository consumer","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingWitness.v","Definition","affine_row_holds","witness types and primitives","25","26","2","","","0","0","definition","affine_expr;eval_affine","eval_statement_tiling_base_row_sound;eval_statement_tiling_base_rows_sound;lift_base_row_after_env_sound;lift_base_row_sound;statement_tiling_core_sound","0","","10","./src/TilingRelation.v:794;./src/TilingRelation.v:800;./src/TilingRelation.v:825;./src/TilingRelation.v:828;./src/TilingRelation.v:925;./src/TilingRelation.v:931;./src/TilingRelation.v:1029;./src/TilingRelation.v:1035;./src/TilingRelation.v:1071;./src/TilingRelation.v:1090","yes","witness types and primitives","direct repository consumer","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingWitness.v","Definition","insert_zeros_at","witness types and primitives","28","29","2","","","0","0","definition","","dot_product_insert_zeros_at;lift_access_row_after_env;lift_base_row_after_env","0","","0","","no","witness types and primitives","exported API; no repository consumer found","dormant exported surface, not dead by proof","keep","none","do not delete or rename; only refactor if this API is intentionally retained"
"src/TilingWitness.v","Definition","lift_base_row","witness types and primitives","31","36","6","","","0","0","definition","affine_expr","eval_lift_base_row;eval_statement_tiling_base_row_sound;eval_statement_tiling_base_rows_sound;lift_base_row_sound;statement_tiling_core_sound","0","","0","","no","witness types and primitives","exported API; no repository consumer found","dormant exported surface, not dead by proof","keep","none","do not delete or rename; only refactor if this API is intentionally retained"
"src/TilingWitness.v","Definition","lift_base_row_after_env","witness types and primitives","38","44","7","","","0","0","definition","affine_expr;insert_zeros_at","eval_lift_base_row_after_env;lift_base_row_after_env_sound","0","","0","","no","witness types and primitives","exported API; no repository consumer found","dormant exported surface, not dead by proof","keep","none","do not delete or rename; only refactor if this API is intentionally retained"
"src/TilingWitness.v","Record","access_row","witness types and primitives","46","51","6","","","0","0","definition","","access_row_holds;eval_access_row;lift_access_row;lift_access_row_after_env","0","","0","","no","witness types and primitives","exported API; no repository consumer found","dormant exported surface, not dead by proof","keep","none","do not delete or rename; only refactor if this API is intentionally retained"
"src/TilingWitness.v","Definition","eval_access_row","witness types and primitives","53","58","6","","","0","0","definition","access_row;dot_product","access_row_holds;eval_lift_access_row;eval_lift_access_row_after_env","0","","0","","no","witness types and primitives","exported API; no repository consumer found","dormant exported surface, not dead by proof","keep","none","do not delete or rename; only refactor if this API is intentionally retained"
"src/TilingWitness.v","Definition","access_row_holds","witness types and primitives","60","62","3","","","0","0","definition","access_row;eval_access_row","eval_statement_tiling_access_row_sound;eval_statement_tiling_access_rows_sound;lift_access_row_after_env_sound;lift_access_row_sound;statement_tiling_core_sound","0","","0","","no","witness types and primitives","exported API; no repository consumer found","dormant exported surface, not dead by proof","keep","none","do not delete or rename; only refactor if this API is intentionally retained"
"src/TilingWitness.v","Definition","lift_access_row","witness types and primitives","64","70","7","","","0","0","definition","access_row","eval_lift_access_row;eval_statement_tiling_access_row_sound;eval_statement_tiling_access_rows_sound;lift_access_row_sound;statement_tiling_core_sound","0","","0","","no","witness types and primitives","exported API; no repository consumer found","dormant exported surface, not dead by proof","keep","none","do not delete or rename; only refactor if this API is intentionally retained"
"src/TilingWitness.v","Definition","lift_access_row_after_env","witness types and primitives","72","79","8","","","0","0","definition","access_row;insert_zeros_at","eval_lift_access_row_after_env;lift_access_row_after_env_sound","0","","0","","no","witness types and primitives","exported API; no repository consumer found","dormant exported surface, not dead by proof","keep","none","do not delete or rename; only refactor if this API is intentionally retained"
"src/TilingWitness.v","Record","tile_link","witness types and primitives","81","84","4","","","0","0","definition","affine_expr","eval_tile_links;eval_tile_parent;eval_tile_trace;lift_point;lower_link_row_holds;lower_link_row_value;statement_tiling_witness;tile_link_interval_holds;tile_trace_step;upper_link_row_holds;upper_link_row_value;well_formed_tile_links","0","","19","./src/TilingRelation.v:190;./src/TilingRelation.v:202;./src/TilingRelation.v:214;./src/TilingRelation.v:219;./src/TilingRelation.v:224;./src/PointWitness.v:30;./src/PointWitness.v:34;./src/TilingBoolChecker.v:74;./src/TilingBoolChecker.v:78;./src/TilingBandScheduleValidator.v:173;./src/TilingBandScheduleValidator.v:177;./src/TilingBandScheduleValidator.v:183;./src/TilingBandScheduleValidator.v:486;./src/TilingBandScheduleValidator.v:2786;./src/TilingBandScheduleValidator.v:2882;./src/TilingBandScheduleValidator.v:2913;./src/TilingBandScheduleValidator.v:28672;./src/AffineValidator.v:61;./src/AffineValidator.v:65","yes","witness types and primitives","direct repository consumer","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingWitness.v","Record","tile_trace_step","witness types and primitives","86","90","5","","","0","0","definition","tile_link","eval_tile_trace;tile_trace_rows_hold;tile_trace_step_rows_hold","0","","0","","no","witness types and primitives","exported API; no repository consumer found","dormant exported surface, not dead by proof","keep","none","do not delete or rename; only refactor if this API is intentionally retained"
"src/TilingWitness.v","Record","statement_tiling_witness","witness types and primitives","92","95","4","","","0","0","definition","tile_link","eval_statement_tiling_witness;eval_statement_tiling_witness_with_env;statement_tiling_rows_hold;well_formed_statement_tiling_witness","0","","186","./src/TilingBandDirectRuntime.v:30;./src/TilingBandDirectRuntime.v:83;./src/TilingBandDirectRuntime.v:112;./src/TilingBandDirectRuntime.v:556;./src/TPolIRs.v:34;./src/TilingValidator.v:72;./src/TilingValidator.v:885;./src/TilingValidator.v:909;./src/TilingValidator.v:922;./src/TilingValidator.v:930;./src/TilingValidator.v:1060;./src/TilingValidator.v:1073;./src/TilingValidator.v:1196;./src/TilingRelation.v:79;./src/TilingRelation.v:87;./src/TilingRelation.v:234;./src/TilingRelation.v:363;./src/TilingRelation.v:372;./src/TilingRelation.v:385;./src/TilingRelation.v:396;./src/TilingRelation.v:413;./src/TilingRelation.v:430;./src/TilingRelation.v:453;./src/TilingRelation.v:2298;./src/TilingRelation.v:2310;./src/TilingRelation.v:2317;./src/TilingRelation.v:2330;./src/TilingRelation.v:2598;./src/TilingRelation.v:5169;./src/TilingRelation.v:5627;./src/TilingRelation.v:5656;./src/TilingRelation.v:5675;./src/TilingRelation.v:5682;./src/TilingRelation.v:5689;./src/TilingRelation.v:5700;./src/TilingRelation.v:5864;./src/TilingRelation.v:6798;./src/TilingRelation.v:7172;./src/TilingRelation.v:7581;./src/TilingRelation.v:7846;./src/TilingRelation.v:8165;./src/PointWitness.v:14;./src/PointWitness.v:42;./src/TilingBoolChecker.v:87;./src/TilingBoolChecker.v:169;./src/TilingBoolChecker.v:200;./src/TilingBoolChecker.v:320;./src/TilingBoolChecker.v:332;./src/TilingBoolChecker.v:409;./src/TilingBoolChecker.v:421;./src/TilingBandMixedSecondValidator.v:116;./src/TilingBandMixedSecondValidator.v:140;./src/TilingBandMixedSecondValidator.v:2771;./src/TilingBandMixedSecondValidator.v:2937;./src/TilingBandMixedSecondValidator.v:2960;./src/TilingBandScheduleValidator.v:200;./src/TilingBandScheduleValidator.v:204;./src/TilingBandScheduleValidator.v:211;./src/TilingBandScheduleValidator.v:216;./src/TilingBandScheduleValidator.v:294;./src/TilingBandScheduleValidator.v:313;./src/TilingBandScheduleValidator.v:351;./src/TilingBandScheduleValidator.v:364;./src/TilingBandScheduleValidator.v:386;./src/TilingBandScheduleValidator.v:397;./src/TilingBandScheduleValidator.v:456;./src/TilingBandScheduleValidator.v:461;./src/TilingBandScheduleValidator.v:470;./src/TilingBandScheduleValidator.v:497;./src/TilingBandScheduleValidator.v:528;./src/TilingBandScheduleValidator.v:2827;./src/TilingBandScheduleValidator.v:2839;./src/TilingBandScheduleValidator.v:2851;./src/TilingBandScheduleValidator.v:2892;./src/TilingBandScheduleValidator.v:3230;./src/TilingBandScheduleValidator.v:3251;./src/TilingBandScheduleValidator.v:3703;./src/TilingBandScheduleValidator.v:3722;./src/TilingBandScheduleValidator.v:3743;./src/TilingBandScheduleValidator.v:3764;./src/TilingBandScheduleValidator.v:3795;./src/TilingBandScheduleValidator.v:5447;./src/TilingBandScheduleValidator.v:5461;./src/TilingBandScheduleValidator.v:5555;./src/TilingBandScheduleValidator.v:6475;./src/TilingBandScheduleValidator.v:6487;./src/TilingBandScheduleValidator.v:6499;./src/TilingBandScheduleValidator.v:6514;./src/TilingBandScheduleValidator.v:6520;./src/TilingBandScheduleValidator.v:6530;./src/TilingBandScheduleValidator.v:6589;./src/TilingBandScheduleValidator.v:6599;./src/TilingBandScheduleValidator.v:6773;./src/TilingBandScheduleValidator.v:7135;./src/TilingBandScheduleValidator.v:7153;./src/TilingBandScheduleValidator.v:7160;./src/TilingBandScheduleValidator.v:7209;./src/TilingBandScheduleValidator.v:7217;./src/TilingBandScheduleValidator.v:7221;./src/TilingBandScheduleValidator.v:7259;./src/TilingBandScheduleValidator.v:8339;./src/TilingBandScheduleValidator.v:8931;./src/TilingBandScheduleValidator.v:8938;./src/TilingBandScheduleValidator.v:9314;./src/TilingBandScheduleValidator.v:9339;./src/TilingBandScheduleValidator.v:9365;./src/TilingBandScheduleValidator.v:9379;./src/TilingBandScheduleValidator.v:9394;./src/TilingBandScheduleValidator.v:9412;./src/TilingBandScheduleValidator.v:9420;./src/TilingBandScheduleValidator.v:9435;./src/TilingBandScheduleValidator.v:9453;./src/TilingBandScheduleValidator.v:9460;./src/TilingBandScheduleValidator.v:9479;./src/TilingBandScheduleValidator.v:9487;./src/TilingBandScheduleValidator.v:9512;./src/TilingBandScheduleValidator.v:9536;./src/TilingBandScheduleValidator.v:9751;./src/TilingBandScheduleValidator.v:9794;./src/TilingBandScheduleValidator.v:9807;./src/TilingBandScheduleValidator.v:9816;./src/TilingBandScheduleValidator.v:9838;./src/TilingBandScheduleValidator.v:14076;./src/TilingBandScheduleValidator.v:15144;./src/TilingBandScheduleValidator.v:15158;./src/TilingBandScheduleValidator.v:15225;./src/TilingBandScheduleValidator.v:15246;./src/TilingBandScheduleValidator.v:15256;./src/TilingBandScheduleValidator.v:15272;./src/TilingBandScheduleValidator.v:15286;./src/TilingBandScheduleValidator.v:15300;./src/TilingBandScheduleValidator.v:15321;./src/TilingBandScheduleValidator.v:15405;./src/TilingBandScheduleValidator.v:15443;./src/TilingBandScheduleValidator.v:15505;./src/TilingBandScheduleValidator.v:15815;./src/TilingBandScheduleValidator.v:15865;./src/TilingBandScheduleValidator.v:16067;./src/TilingBandScheduleValidator.v:16160;./src/TilingBandScheduleValidator.v:16371;./src/TilingBandScheduleValidator.v:17291;./src/TilingBandScheduleValidator.v:21142;./src/TilingBandScheduleValidator.v:21226;./src/TilingBandScheduleValidator.v:22228;./src/TilingBandScheduleValidator.v:22494;./src/TilingBandScheduleValidator.v:22526;./src/TilingBandScheduleValidator.v:22551;./src/TilingBandScheduleValidator.v:22686;./src/TilingBandScheduleValidator.v:22759;./src/TilingBandScheduleValidator.v:24047;./src/TilingBandScheduleValidator.v:24294;./src/TilingBandScheduleValidator.v:24317;./src/TilingBandScheduleValidator.v:24359;./src/TilingBandScheduleValidator.v:24385;./src/TilingBandScheduleValidator.v:24413;./src/TilingBandScheduleValidator.v:24431;./src/TilingBandScheduleValidator.v:24453;./src/TilingBandScheduleValidator.v:24472;./src/TilingBandScheduleValidator.v:24484;./src/TilingBandScheduleValidator.v:24521;./src/TilingBandScheduleValidator.v:24569;./src/TilingBandScheduleValidator.v:24627;./src/TilingBandScheduleValidator.v:24657;./src/TilingBandScheduleValidator.v:24686;./src/TilingBandScheduleValidator.v:24715;./src/TilingBandScheduleValidator.v:24739;./src/TilingBandScheduleValidator.v:24884;./src/TilingBandScheduleValidator.v:24914;./src/TilingBandScheduleValidator.v:28679;./src/TilingBandPhaseScalarValidator.v:102;./src/TilingBandPhaseScalarValidator.v:127;./src/TilingBandPhaseScalarValidator.v:147;./src/TilingBandPhaseScalarValidator.v:223;./src/TilingBandPhaseScalarValidator.v:826;./src/TilingBandPhaseScalarValidator.v:978;./src/TilingBandPhaseScalarValidator.v:1596;./src/CPolIRs.v:35;./src/AffineValidator.v:73;./src/TilingCanonicalScheduleValidator.v:29;./src/TilingCanonicalScheduleValidator.v:39;./src/TilingCanonicalScheduleValidator.v:50;./src/TilingCanonicalScheduleValidator.v:180;./src/TilingCanonicalScheduleValidator.v:187;./polygen/PolIRs.v:70;./syntax/SPolIRs.v:34;./driver/CPolOpt.v:28","yes","witness types and primitives","direct repository consumer","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingWitness.v","Definition","eval_tile_parent","witness types and primitives","97","98","2","","","0","0","definition","eval_affine;tile_link","eval_tile_links;eval_tile_parent_interval;eval_tile_trace;eval_tile_trace_sound;lower_upper_rows_imply_eval_tile_parent","0","","10","./src/TilingRelation.v:1104;./src/TilingRelation.v:1136;./src/TilingRelation.v:1273;./src/TilingBandScheduleValidator.v:3162;./src/TilingBandScheduleValidator.v:3176;./src/TilingBandScheduleValidator.v:3179;./src/TilingBandScheduleValidator.v:3222;./src/TilingBandScheduleValidator.v:3936;./src/TilingBandScheduleValidator.v:3941;./src/TilingBandScheduleValidator.v:3965","yes","witness types and primitives","direct repository consumer","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingWitness.v","Definition","tile_link_interval_holds","witness types and primitives","100","102","3","","","0","0","definition","eval_affine;tile_link","eval_tile_parent_interval;eval_tile_trace_sound;interval_implies_lower_link_row;interval_implies_upper_link_row;lower_upper_rows_imply_interval;tile_link_interval_unique","0","","0","","yes","witness types and primitives","internal on a repository-consumed path","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingWitness.v","Definition","lower_link_row_value","witness types and primitives","104","105","2","","","0","0","definition","eval_affine;tile_link","interval_implies_lower_link_row;lower_link_row_holds;lower_upper_rows_imply_interval","0","","2","./src/TilingRelation.v:865;./src/TilingRelation.v:868","yes","witness types and primitives","direct repository consumer","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingWitness.v","Definition","upper_link_row_value","witness types and primitives","107","108","2","","","0","0","definition","eval_affine;tile_link","interval_implies_upper_link_row;lower_upper_rows_imply_interval;upper_link_row_holds","0","","2","./src/TilingRelation.v:961;./src/TilingRelation.v:964","yes","witness types and primitives","direct repository consumer","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingWitness.v","Definition","lower_link_row_holds","witness types and primitives","110","111","2","","","0","0","definition","lower_link_row_value;tile_link","interval_implies_lower_link_row;lower_upper_rows_imply_eval_tile_parent;lower_upper_rows_imply_interval;tile_trace_step_rows_hold","0","","3","./src/TilingRelation.v:924;./src/TilingRelation.v:941;./src/TilingRelation.v:1065","yes","witness types and primitives","direct repository consumer","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingWitness.v","Definition","upper_link_row_holds","witness types and primitives","113","114","2","","","0","0","definition","tile_link;upper_link_row_value","interval_implies_upper_link_row;lower_upper_rows_imply_eval_tile_parent;lower_upper_rows_imply_interval;tile_trace_step_rows_hold","0","","3","./src/TilingRelation.v:1028;./src/TilingRelation.v:1045;./src/TilingRelation.v:1084","yes","witness types and primitives","direct repository consumer","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingWitness.v","Lemma","eval_tile_parent_interval","tile interval arithmetic","116","135","20","120","135","16","14","Qed","eval_affine;eval_tile_parent;tile_link_interval_holds","eval_tile_trace_rows_hold;eval_tile_trace_sound;lower_upper_rows_imply_eval_tile_parent","0","","2","./src/TilingRelation.v:1159;./src/TilingRelation.v:1172","yes","tile interval arithmetic","direct repository consumer","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingWitness.v","Lemma","interval_implies_lower_link_row","tile interval arithmetic","137","145","9","141","145","5","3","Qed","lower_link_row_holds;lower_link_row_value;tile_link_interval_holds","eval_tile_trace_rows_hold","0","","1","./src/TilingRelation.v:1158","yes","tile interval arithmetic","direct repository consumer","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingWitness.v","Lemma","interval_implies_upper_link_row","tile interval arithmetic","147","155","9","151","155","5","3","Qed","tile_link_interval_holds;upper_link_row_holds;upper_link_row_value","eval_tile_trace_rows_hold","0","","1","./src/TilingRelation.v:1171","yes","tile interval arithmetic","direct repository consumer","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingWitness.v","Lemma","lower_upper_rows_imply_interval","tile interval arithmetic","157","168","12","162","168","7","5","Qed","lower_link_row_holds;lower_link_row_value;tile_link_interval_holds;upper_link_row_holds;upper_link_row_value","lower_upper_rows_imply_eval_tile_parent","0","","0","","yes","tile interval arithmetic","internal on a repository-consumed path","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingWitness.v","Lemma","tile_link_interval_unique","tile interval arithmetic","170","180","11","176","180","5","3","Qed","tile_link_interval_holds","lower_upper_rows_imply_eval_tile_parent","0","","0","","yes","tile interval arithmetic","internal on a repository-consumed path","cohesive and proportionate","keep","none","no structural change recommended"
"src/TilingWitness.v","Lemma","lower_upper_rows_imply_eval_tile_parent","tile interval arithmetic","182","194","13","188","194","7","5","Qed","eval_tile_parent;eval_tile_parent_interval;lower_link_row_holds;lower_upper_rows_imply_interval;tile_link_interval_unique;upper_link_row_holds","","0","","1","./src/TilingRelation.v:1275","yes","tile interval arithmetic","direct repository consumer","cohesive and proportionate","keep","none","no structural change recommended"
